"PRODUCT -   Medium technology manufactures: engineering (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"      Developing economies: Eastern Asia",9739810.205,10860562.799,10025990.294,8270284.885,8217968.37,10166684.693,10747320.798,13224166.199,19287890.071,25407799.598,28448579.568,34153196.399,39177929.872,42021839.882,37270384.333,52695798.633,61120171.56,61019424.105,64987918.705,63891479.999,61307898.041,58757434.415,61280501.999
"      Developing economies: Southern Asia",5450.436,5874.107,20243.124,14831.293,13556.779,22085.008,31254.153,43142.987,69988.16099999999,112793.331,122515.274,204263.646,274660.403,242723.659,441945.339,385284.236,446123.469,498011.762,648519.6040000001,625711.294,682147.966,590275.32,1011011.651
"      Developing economies: South-Eastern Asia",991294.184,906923.253,673955.883,721871.166,840927.5820000001,1269032.428,1485306.781,1875475.122,2497462.904,3184671.104,3426404.482,4069805.461,4659510.601,5430008.636,5507219.39,6324957.672,8286141.856,8698326.345000001,9519878.831,10711826.3,9960530.392000001,10065552.401,11735327.9
"      Developing economies: Western Asia",2074.563,7121.106,8187.336,7078.053,4703.956,9010.886,9135.642,25333.558,18082.679,22708.664,24874.044,51926.049,107796.821,226814.927,113574.179,125367.685,188559.049,201523.616,272791.313,361074.312,353225.237,424896.716,512435.042
"    Developing economies: Oceania",86.009,1.755,1.913,2.173,"..",52.478,114.863,8.283,8.196,55.934,138.722,57.092,23.644,17.928,9950.591,106.249,467.579,566.465,945.258,2168.681,669.609,850.694,815.28
"    Developed economies: America",2340334.097,2534506.275,2598271.366,2173733.167,2167177.329,2713394.753,3218699.067,3756198.174,4452599.768,6149181.973,6259621.678,7699208.864,9336355.085000001,10637636.172,9463064.093,12529565.945,14094506.486,13669817.295,14236363.38,14935150.196,14537179.402,13941783.022,15467515.294
"    Developed economies: Asia",7164740.166,7409616.874,6302637.672,5383664.069,5890060.404,7206662.31,7642376.552,9758473.811000001,14368859.199,19505979.064,20599763.239,23461195.513,26335908.715,30660820.586,25746553.647,41766097.599,48390913.302,39132102.293,32178392.514,31353264.323,27319419.841,29999920.441,37765563.015
"    Developed economies: Europe",9069361.559,8798731.509,7367330.831,6936394.589,6792609.779,7436533.954,9794144.051999999,12778109.655,17611189.94,24012129.815,23031080.324,26969491.955,33991686.189,41964812.387,40466711.031,51729853.408,63998431.17,54436873.551,57207183.096,60249518.091,48916591.15,48633345.037,57138033.666
"    Developed economies: Oceania",159246.308,106870.463,93975.78999999999,70842.36500000001,77916.897,86623.829,102522.515,128523.072,192543.864,260410.258,320024.848,346239.211,392534.353,388587.717,388085.239,491293.132,655742.331,579330.9,476427.164,509544.536,417694.172,476764.514,419639.545
"    Developed economies: Asia and Oceania",7323986.474,7516487.337,6396613.462,5454506.434,5967977.301,7293286.139,7744899.067,9886996.882999999,14561403.063,19766389.322,20919788.087,23807434.724,26728443.068,31049408.303,26134638.886,42257390.731,49046655.633,39711433.193,32654819.678,31862808.859,27737114.013,30476684.955,38185202.56
"    Developing economies: Asia and Oceania",10738715.397,11780483.02,10728378.55,9014067.57,9077156.687000001,11466865.493,12273132.237,15168126.149,21873432.011,28728028.631,32022512.09,38479248.647,44219921.341,47921405.032,43343073.832,59531514.475,70041463.513,70417852.293,75430053.711,75592260.586,72304471.24500001,69839009.546,74540091.87199999
"Developing economies excluding China",10836379.606,11880324.421,10826285.365,9116328.874,9133307.346000001,11558068.522,12453275.242,15344756.627,22217242.193,29091168.859,32444307.022,38934732.394,44660548.748,48466820.851,43694193.194,60095847.853,70817376.314,71146876.948,76202588.03,76299257.68099999,73666681.751,71061609.62899999,75595379.683
"Developing economies excluding LDCs",10833153.145,11879551.422,10825120.748,9112880.329,9132136.380999999,11555355.063,12452717.27,15342945.067,22213963.115,29082662.855,32436788.146,38931526.073,44648030.101,48457829.898,43686166.361,60074663.198,70761230.139,71113154.87800001,76164965.16599999,76241805.87100001,73622664.24600001,70942574.617,75357634.73800001
"Developing economies excluding LDCs and China",10833153.145,11879551.422,10825120.748,9112880.329,9132136.380999999,11555355.063,12452717.27,15342945.067,22213963.115,29082662.855,32436788.146,38931526.073,44648030.101,48457829.898,43686166.361,60074663.198,70761230.139,71113154.87800001,76164965.16599999,76241805.87100001,73622664.24600001,70942574.617,75357634.73800001
"Developing economies excluding LDCs: Africa",35148.725,35759.328,37250.967,36084.911,29858.31,27978.704,59584.454,13961.446,44773.517,62041.724,51552.495,48026.014,72594.57000000001,53361.195,40054.388,107737.614,258139.972,123537.154,187212.08,144181.459,60323.218,46735.776,55430.524
"Developing economies excluding LDCs: America",61408.415,64069.723,60599.86,66122.74800000001,26232.278,62533.49,120504.777,162510.053,298996.767,298085.626,365661.502,406583.481,366951.054,487447.682,306915.594,447900.369,486851.461,596979.591,570801.57,548346.01,1292809.263,1118359.199,826958.666
"Developing economies excluding LDCs: Asia",10736509.996,11779720.616,10727268.008,9010670.497,9076045.793,11464790.391,12272513.176,15166465.285,21870190.189,28722479.625,32019435.427,38476859.486,44208464.527,47917003.339,43329246.678,59518920.824,70015771.809,70392072.01000001,75406006.462,75547109.94,72268862.299,69776632.575,74474430.40800001
"Developing economies excluding LDCs: Oceania",86.009,1.755,1.913,2.173,"..",52.478,114.863,8.283,2.642,55.88,138.722,57.092,19.95,17.682,9949.700999999999,104.391,466.897,566.1230000000001,945.054,2168.462,669.466,847.067,815.14
"Developing economies excluding LDCs and China: Asia",10736509.996,11779720.616,10727268.008,9010670.497,9076045.793,11464790.391,12272513.176,15166465.285,21870190.189,28722479.625,32019435.427,38476859.486,44208464.527,47917003.339,43329246.678,59518920.824,70015771.809,70392072.01000001,75406006.462,75547109.94,72268862.299,69776632.575,74474430.40800001
"LDCs (Least developed countries)",3215.493,772.999,1164.617,3448.545,1170.965,2713.459,557.972,1811.56,3279.078,8506.004000000001,7518.876,3206.321,12518.647,8990.953,8026.474,21184.655,56146.175,33722.07,37622.864,57451.183,44017.505,119034.922,237744.945
"    LDCs: Africa and Haiti",1096.101,12.35,55.514,53.645,60.071,690.835,53.774,158.979,39.898,3012.878,4580.935,874.018,1081.783,4606.295,4149.021,8693.794,30921.368,8498.446,14520.669,14468.999,9078.025,57505.018,172897.753
"    LDCs: Asia",2119.392,760.649,1108.629,3394.9,1110.894,2022.624,504.198,1652.581,3233.626,5493.067,2937.941,2331.077,11433.17,4383.747,3876.558,12487.402,25223.692,25213.264,23101.877,42981.965,34939.309,61526.223,64846.148
"    LDCs: Islands","..","..",0.474,"..","..","..","..","..",5.554,0.059,0,1.226,3.694,0.911,0.895,3.459,1.115,10.36,0.318,0.219,0.171,3.681,1.044
"    LDCs: Africa",1091.795,12.35,55.514,53.645,60.071,690.835,53.774,158.979,39.898,3012.878,4580.935,874.018,1081.783,4606.295,4149.021,8693.794,30921.368,8498.446,14520.669,14468.999,9078.025,57505.018,172897.753
"    LDCs: Islands and Haiti",4.306,"..",0.474,"..","..","..","..","..",5.554,0.059,0,1.226,3.694,0.911,0.895,3.459,1.115,10.36,0.318,0.219,0.171,3.681,1.044
"LLDCs (Landlocked developing countries)",46914.506,26562.671,20957.253,17003.954,39026.459,366.972,3067.953,2608.433,4821.814,9971.431000000001,14347.534,8439.653,14301.75,6999.927,9652.919,10098.304,32753.543,11198.614,69769.95,91802.159,31395.868,75252.845,50378.936
"SIDS (Small island developing States) (UNCTAD)",44.163,0.436,401.436,213.472,106.379,161.472,117.043,945.881,983.867,1953.057,934.951,918.567,1016.413,7431.423,817.285,550.87,1276.71,2604.142,1232.569,2802.162,1198.488,2943.689,4804.859
"High-income developing economies",10789955.002,11825537.46,10773352.797,9061902.854,9065645.49,11468249.023,12318433.267,15043422.64,22014802.851,28778386.196,32144816.188,38446725.789,44045407.748,47768163.267,42622469.126,59176826.231,69611520.28300001,69860306.87800001,74432446.76700001,73866688.77599999,71387616.10699999,68405573.39300001,71642482.538
"Middle-income developing economies",44981.786,54253.896,52795.431,52514.315,67390.054,89470.523,134431.138,300529.31,200620.414,309351.812,292768.114,485965.723,612517.223,690191.4620000001,1064819.765,900696.379,1159125.87,1242156.075,1715271.547,2366116.868,2219967.608,2582703.83,3766114.124
"Low-income developing economies",1442.818,533.0650000000001,137.137,1911.705,271.802,348.976,410.837,804.677,1818.928,3430.851,6722.72,2040.882,2623.777,8466.121999999999,6904.303,18325.243,45138.623,44015.463,54869.716,66452.037,59098.036,73332.406,186783.021
"Low-income economies (World Bank)",1442.818,491.078,134.379,1837.509,207.532,246.914,361.401,745.074,1792.52,3025.759,6433.883,1950.888,2279.316,6442.009,4921.556,14872.25,37050.472,35976.321,44630.753,59525.642,50836.195,62335.474,173946.888
"Lower-middle-income economies (World Bank)",68615.84699999999,86923.01300000001,76931.216,64731.903,73543.061,104632.631,154237.279,357338.111,225149.55,323996.323,335514.904,534522.426,667350.526,744171.314,1172585.118,1027190.632,1210066.321,1319297.991,1991511.125,2521019.831,2299595.957,2643614.629,3904532.758
"Upper-middle-income economies (World Bank)",680430.9399999999,687974.514,540092.1090000001,843529.3590000001,967295.172,1255572.615,1101079.806,1403492.028,1816644.888,1765064.908,2018105.172,2548420.291,2691241.571,2937086.305,2905047.61,3962609.265,4243480.974,5014450.584,5454791.683,5870017.912,6515673.898,6302655.697,6859625.731
"High-income economies (World Bank)",29123699.914,30272639.612,26818813.62,23316522.729,23658869.175,28393160.381,32313382.837,40616438.274,57465926.145,77334341.763,80802747.796,95056184.71600001,112029220.696,129050534.335,116451406.385,162588528.453,193155980.519,173726663.062,174280569.356,176362329.464,157450465.673,156381275.527,177029731.658
"High-income OECD members (World Bank)",19979054.909,20617297.742,18024767.979,15779868.119,16206087.434,19239850.319,22684997.548,29201055.765,40930391.257,56173048.346,56887187.749,66459774.638,79915653.36399999,95769507.237,87768274.441,123587523.275,147448868.267,126985285.842,126602358.38,127909558.972,113200474.297,114477626.782,132231927.907
"High-income non OECD members (World Bank)",9144645.005000001,9655341.869999999,8794045.641000001,7536654.61,7452781.741,9153310.062000001,9628385.289000001,11415382.509,16535534.888,21161293.417,23915560.047,28596410.078,32113567.332,33281027.098,28683131.944,39001005.178,45707112.252,46741377.22,47678210.976,48452770.492,44249991.376,41903648.745,44797803.751
"HIPCs (Heavily indebted poor countries) (IMF)",83.848,555.033,37.661,75.785,61.268,85.821,169.828,576.483,212.696,771.6,3500.632,4765.334,2113.982,4398.459,4369.088,9611.004999999999,30111.836,9141.777,16558.116,25012.024,17099.302,61472.804,174456.148
"LIFDC (Low-income food-deficit countries) (FAO)",6782.341,13945.154,20000.538,16786.554,13805.998,22023.3,32702.327,39789.581,71749.768,128713.406,133370.667,207571.247,285415.186,253447.75,455542.79,411601.999,684652.798,540907.643,718531.6750000001,706626.846,629739.343,659217.009,1011012.488
"Selected LIFDC (Low-income food-deficit countries)",5057.243,5802.24,19774.434,14830.418,13543.058,20899.078,31035.402,38732.559,67717.163,112676.021,124396.282,203765.716,273742.927,244260.723,443564.255,392146.484,458011.151,492462.375,650188.4520000001,627774.912,561260.147,589534.9520000001,818718.152
"Selected exporters of petroleum",279156.726,280664.468,214675.058,521490.45,634067.7290000001,738091.687,335797.151,554068.777,643522.853,400939.918,466860.158,684750.379,637149.544,592633.431,672182.249,857303.473,822373.1360000001,1053830.552,1189771.496,1319434.45,1382615.044,1256168.245,1492391.144
"Selected exporters of manufactured goods",10722182.635,11802792.416,10758520.376,9025053.879000001,9055152.338,11471404.996,12296671.439,15206880.87,21886385.987,28692452.701,32032968.49,38472010.396,44110604.511,47695985.537,43032251.939,59529115.742,69948190.383,70421092.324,75549774.377,75534412.369,72092194.362,69710636.074,74173962.08400001
"Selected exporters of manufactured goods and primary commodities",1574486.819,2140931.973,1999167.154,1515490.837,1818760.724,2722672.889,3034349.104,4940782.374,8510185.416999999,12142992.013,13522931.464,16749537.093,19242279.12,21537555.811,19850850.422,30036568.758,35692018.524,34552609.703,38605036.937,37781096.675,38117018.458,37753150.029,38671126.871
"Selected exporters of agricultural products",6466.396,2069.29,4458.733,5528.455,633.128,4583.305,4752.153,3443.494,11123.35,11668.859,11738.375,7563.716,11095.778,30273.527,17421.042,17081.48,23596.509,14192.529,18413.775,15405.45,13614.798,14475.736,14598.135
"Selected exporters of minerals and mining products",1365.44,1017.316,1754.962,8986.188,2477.46,691.75,3679.767,5050.858,887.056,2420.947,10433.122,3069.703,6164.508,6639.359,7633.272,9728.127,17688.651,13787.383,30475.379,15966.297,25453.804,85400.974,186509.461
"Net food-importing economies",24935302.318,26080665.703,22673418.817,20179813.239,20730938.868,24919442.538,27539269.095,35186635.857,50546456.615,67104602.3,70524437.971,83071446.15099999,95861879.755,109998028.358,98460355.88,141288427.197,168077218.712,150727151.983,150182850.817,150637735.343,134416101.545,133148352.242,152561583.505
"  Net food-importing developing economies",10463147.809,11510923.899,10521993.32,8824028.929,8770921.683,11030893.849,11677159.855,14457329.229,20979946.875,27599370.677,30783311.509,36853442.235,42240366.37,45706092.258,40650205.514,56527027.141,66686223.036,66640985.144,71163227.21600001,70394179.866,67319111.419,64387697.512,67875977.65099999
"  Net food-importing transition economies",275485.553,285486.988,213454.55,521016.459,630786.053,735452.074,334389.046,553334.25,640457.773,390440.511,464050.987,678580.089,617215.303,561672.7290000001,666148.0500000001,844945.449,616076.868,1037771.943,1186419.461,1302656.234,1367608.545,1217508.969,1439085.303
"  Net food-importing developed economies",14196668.956,14284254.816,11937970.947,10834767.851,11329231.132,13153096.615,15527720.194,20175972.378,28926051.967,39114791.112,39277075.475,45539423.827,53004298.082,63730263.371,57144002.316,83916454.60699999,100774918.808,83048394.896,77833204.14,78940899.243,65729381.581,67543145.76100001,83246520.551
"Major net food-importing economies",24829315.968,25997567.512,22600111.358,20130249.979,20655833.379,24880460.308,27464399.83,35080554.788,50331377.603,66923166.015,70287357.381,82713973.24,95311026.544,109440361.499,97874794.641,140492956.73,167070644.174,149749206.342,148889590.5,149147818.768,133240604.072,131919045.453,150933221.159
"Net food-exporting economies",4938395.861,4966751.514,4760709.507,4041834.261,3968141.072,4833349.003,6028168.009,7190924.507,8962545.488,12321404.768,12637546.912,15068542.514,19527606.038,22740204.013,22073604.292,26304772.508,30570951.302,29369634.952,31588652.143,34175157.537,31900470.985,32241531.4,35406256.254
"  Net food-exporting developing economies",373231.797,369400.522,304292.045,292299.945,362385.663,527174.673,775774.0280000001,887427.398,1237295.318,1491798.182,1660995.275,2081290.032,2420175.952,2760727.001,3043987.004,3568819.703,4131153.278,4505891.804,5039360.814,5905077.815,6347570.332,6673912.117,7719402.032
"  Net food-exporting transition economies",28150.89,31880.687,32172.75,19667.977,7222.132,16056.099,22371.989,58164.775,26124.12,16696.588,43137.023,50540.766,55243.826,57883.521,109205.594,135597.328,75123.54300000001,94014.00500000001,284129.315,163501.819,91397.66899999999,58952.03,142623.253
"  Net food-exporting developed economies",4537013.174,4565470.305,4424244.712,3729866.339,3598533.277,4290118.231,5230021.992,6245332.334,7699126.05,10812909.998,10933414.614,12936711.716,17052186.26,19921593.491,18920411.694,22600355.477,26364674.481,24769729.143,26265162.014,28106577.903,25461502.984,25508667.253,27544230.969
"Major net food-exporting economies",4876602.661,4921253.47,4731935.445,4017644.687,3963689.353,4825663.152,6021879.332,7183748.387,8955420.310000001,12293587.245,12607684.629,15044159.179,19489996.406,22682919.268,22011800.266,26179204.923,30395489.342,29201836.4,31335119.72,33865153.826,31672781.241,31955852.494,35050681.32
"BASIC",88154.60400000001,79705.446,78114.705,69125.675,60341.586,79589.25900000001,159574.729,161306.115,323496.699,373578.21,426886.802,524088.129,543298.829,583381.552,615660.2780000001,670132.391,743714.421,909576.246,1054250.036,940878.402,1464502.998,1245891.987,1226458.12
"BRICS",316954.604,339177.963,270540.532,575564.5649999999,654509.547,814895.473,491178.436,713251.1899999999,959801.84,754560.904,877452.241,1195117.579,1145308.258,1140512.586,1273504.447,1507697.8,1342869.173,1940209.762,2187432.082,2164603.18,2808893.843,2419131.475,2638132.167
"Industrialized economies (UNIDO)",29515944.936,30706902.216,27110852.533,23928072.114,24367076.045,29298884.424,32975441.72,41556187.58,58578409.205,78016340.84800001,81739859.43799999,96252614.09999999,113102776.977,130031362.593,117467834.874,163914764.631,194403681.094,175770314.231,176289872.391,178453039.969,159568096.853,158126048.326,179030032.381
"EIEs (Emerging Industrial Economies) (UNIDO)",342505.036,302774.552,294330.173,263229.664,293370.781,395899.03,495936.586,595728.895,853421.478,1290075.707,1298610.104,1703830.3,2093187.058,2457564.567,2829090.295,3276952.429,3583120.864,3559996.739,4401501.243,4579355.498,5114282.019,5238808.972,5864971.356
"Emerging markets",11231077.624,12252402.001,11094797.712,9676375.628000001,9790996.097999999,12330206.51,12893211.802,16084191.326,23047193.945,29933672.086,33314757.403,40213163.736,46267911.549,50232432.728,45717710.928,62437917.956,73072406.457,73827605.90800001,79361529.362,78772911.109,75576068.781,72550813.191,76843194.593
"  Emerging markets: Africa",34569.437,35745.024,36076.715,35672.369,29692.09,27401.141,59239.28,12710.117,42309.181,59117.594,49742.836,44855.368,69793.02400000001,48821.064,36109.599,97958.79700000001,242216.327,114879.668,174900.166,118228.713,32999.369,22734.708,29851.616
"  Emerging markets: America",60546.995,62815.968,59724.141,63905.716,25420.908,57762.67,117941.413,159310.687,296390.331,294541.04,357136.978,389106.447,353554.816,443835.101,273668.633,413990.089,436233.226,543393.624,513814.405,476354.175,1198451.268,1029290.928,782836.976
"  Emerging markets: Asia",10717975.08,11770282.743,10709349.741,8993891.493000001,9057798.949999999,11451637.62,12251071.174,15145843.942,21846161.156,28680932.285,31958981.736,38403829.702,44090157.527,47826779.956,43216514.814,59314177.339,69798569.316,70082015.861,74895123.286,74376717.494,71100982.112,68257714.56200001,72161239.45900001
"  Emerging markets: Europe and Kazakhstan",417986.112,383558.266,289647.115,582906.0500000001,678084.15,793405.079,464959.935,766326.58,862333.277,899081.167,948895.853,1375372.219,1754406.182,1912996.607,2191417.882,2611791.731,2595387.588,3087316.755,3777691.505,3801610.727,3243636.032,3241072.993,3869266.542
"Africa excluding South Africa",1726.519,497.842,1281.509,539.655,275.406,1361.303,1643.436,1978.489,5272.909,17179.092,11676.971,5895.025,12264.841,14237.95,16839.511,33486.541,250323.572,34789.41,38512.379,58377.214,48872.272,84515.185,206867.744
"Northern Africa excluding Sudan",504.475,24.333,882.257,329.766,88.53400000000001,557.564,318.861,632.059,1442.676,1464.235,2017.886,3737.078,3777.352,5609.348,7700.249,10861.996,22607.807,16778.071,12258.488,24384.668,17263.474,14717.407,18993.094
"Sub-Saharan Africa",35747.013,35747.345,36424.698,35808.79,29829.847,28111.975,59319.367,13488.366,43370.739,63590.367,54115.544,45163.188,69899.001,52358.789,36503.519,105571.013,266453.533,115266.993,189474.261,134266.417,52137.769,89523.477,209336.051
"Sub-Saharan Africa excluding South Africa",1222.044,473.509,399.252,209.889,186.872,803.739,1324.575,1346.43,3830.233,15714.857,9659.084999999999,2157.947,8487.489,8628.602000000001,9139.262000000001,22624.545,227715.765,18011.339,26253.891,33992.546,31608.798,69797.77800000001,187874.65
"South America excluding Brazil",8935.646000000001,3302.388,5809.64,12008.886,3023.42,4697.768,8079.007,7562.875,11736.762,11744.544,17272.885,7737.264,15114.753,33718.493,20690.618,18798.106,33309.763,22611.941,39970.536,22444.452,17869.472,13401.414,12085.021
"Central America and Greater Caribbean Islands excluding Mexico and Puerto Rico",795.337,798.311,769.3680000000001,2076.093,714.709,4696.809,2080.018,2666.45,2354.173,3065.2,8074.868,16578.572,12103.658,36692.9,31954.507,33537.264,48246.081,50737.077,55816.148,70904.8,93377.655,87414.74000000001,42105.899
"South America and Central America",61373.784,64069.287,60492.704,65826.576,25800.242,58231.067,119727.906,161309.044,297911.686,296894.533,361044.173,399981.015,363197.493,472634.1,291834.477,430973.122,453146.188,572082.665,545105.771,526181.336,1273004.19,1092305.845,797490.044
"Southern Asia excluding India",2519.539,1309.845,11583.535,5090.413,3823.27,3715.751,11276.636,6063.398,7099.445,7037.409,6037.679,5169.069,24044.666,9757.906000000001,18234.052,56186.406,24602.56,26226.86,33548.274,44031.12,150300.767,44425.389,254044.831
"Eastern, Southern and South-Eastern Asia",10736554.825,11773360.159,10720189.301,9006987.344000001,9072452.731000001,11457802.129,12263881.732,15142784.308,21855341.136,28705264.033,31997499.324,38427265.506,44112100.876,47694572.177,43219549.062,59406040.541,69852436.88500001,70215762.212,75156317.14,75229017.593,71950576.399,69413262.13600001,74026841.55
"Eastern and South-Eastern Asia excluding China",10731104.389,11767486.052,10699946.177,8992156.051000001,9058895.952,11435717.121,12232627.579,15099641.321,21785352.975,28592470.702,31874984.05,38223001.86,43837440.473,47451848.518,42777603.723,59020756.305,69406313.41599999,69717750.45,74507797.536,74603306.299,71268428.433,68822986.816,73015829.899
"ACP (African, Caribbean and Pacific Group of States)",35871.959,35749.536,36737.995,36310.182,30266.426,32563.812,59949.648,14705.268,44508.423,64613.012,58939.734,51899.216,73795.921,67148.084,52191.965,122609.532,299082.473,140345.315,215554.568,158768.787,72703.114,116515.262,239696.498
"ACP (African, Caribbean and Pacific Group of States): LDCs (Least developed countries)",1096.101,12.35,55.988,53.645,60.071,690.835,53.774,158.979,45.452,3012.937,4581.109,875.312,1085.513,4607.473,4167.562,8700.931000000001,30923.289,8512.419,14522.489,14471.68,9083.685,57512.077,172902.393
"ACP (African, Caribbean and Pacific Group of States): LLDCs (Landlocked developing countries)",7.933,7.84,10.288,11.337,16.214,18.588,26.077,140.957,435.278,212.841,638.884,394.65,593.585,3196.94,2852.66,4185.989,21439.057,5002.771,15904.4,12479.519,5551.384,8582.181000000001,9190.404000000001
"ACP (African, Caribbean and Pacific Group of States): Islands states",119.82,2.191,452.317,425.737,478.341,4420.727,605.854,2045.2,1958.042,2854.575,5288.298,6779.444,4271.284,15672.169,15978.953,21266.391,40818.437,25713.783,26459.123,24650.884,20864.096,28158.053,32937.113
"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)",1548.21,"..",115.857,190.783,2042.82,78.37000000000001,47.361,899.9500000000001,382.951,213.93,876.785,1273.008,1786.127,6648.006,753.31,981.656,1309.977,1813.115,1626.657,3952.21,2216.437,1843.692,1413.418
"AMU (Arab Maghreb Union)",460.007,"..",833.458,257.603,79.47799999999999,466.249,253.759,351.663,891.97,559.8150000000001,674.396,2729.868,2378.711,3237.206,3570.425,5027.141,12597.932,6652.47,8207.4,21367.213,13189.41,11768.475,16527.177
"APEC (Asia-Pacific Economic Cooperation)",20587428.476,22065908.021,19899468.289,17132766.837,17764839.945,22164790.177,23523902.137,29311504.88,41465874.169,54883287.754,59513631.475,70422450.493,80517615.361,89689381.624,78981043.37199999,114648894.662,132763630.808,123903021.184,122461928.127,122363338.565,114730584.883,114300920.319,127934117.976
"APTA (Asia-Pacific Trade Agreement)",1320167.425,1824381.724,1693736.705,1247948.349,1295311.407,1825201.157,1954270.576,2827046.847,4385179.558,6386881.793,6820607.389,8221682.905,10167568.892,12405190.358,12204801.71,17546305.326,20908706.115,19814777.627,23396768.12,21810304.126,22950955.903,22337415.857,22878892.249
"ASEAN (Association of Southeast Asian Nations)",991294.184,906923.253,673955.883,721871.166,840927.5820000001,1269032.428,1485306.781,1875475.122,2497462.904,3184671.099,3426404.482,4069804.469,4659510.601,5430008.618,5507219.385,6324957.672,8286141.423,8698325.790999999,9519878.717,10711826.3,9960530.364,10065552.347,11735327.864
